53.0|[2428,783,692,2998,657,927,1971,3663,3808,3562,1620,3944,1549,3715,17,4285,4586,189,482]
143.0|[1228,2183,3153,1269,2041,2598,1892,1752,1479,1475,1302,912,193,185,186,1,3608,2975]
87.0|[1753,2130,526,702,1838,2664,2467,3050,2343,3618,930,3770,9,2388,914,3425,2031,3284,910,4318,781,783,641,1051,482,1]
110.0|[2242,836,2931,1471,1309,2110,2030,3202,2028,641,482,183]
77.0|[2867,2764,242,2396,2060,1559,789,1474,660,1879,4082,1181,190,3146,1051,183]
2.0|[4230,810,4339,785,3418,349,3162,3156,3818,2726,3709,341,1305,4779,2975,183,1,910,640]
47.0|[2217,2850,2460,657,2185,1337,2928,3351,4039,3156,1070,3757,3661,4467,3385,392,644,210,1755,2389,1617,2786,1,341,910]
35.0|[3166,4703,2496,3555,4493,4084,1472,3609,2517]
105.0|[1311,2780,2648,3905,1070,2269,2107,1690,3473,2719,2255,2517,1817,1180]
128.0|[2252,2255,1066,346,1183,4213,2255,4527,788,3339,3663,3554,3202,1939,2389,341,482,640]
56.0|[2370,1653,483,185,4802,2121,3527,4638,490,2109,4287,1617,3805,783,782]
33.0|[3564,3241,4616,653,1823,673,1621,1180,640,910,1686,1180]
57.0|[2073,2474,2116,2941,4526,2324,508,948,4213,3822,343,1184,4287,3663,3660,3944,4458,640,1]
23.0|[3587,1826,194,1181,4231,362,3898,1492,4254,4359,1696,801,183,483]
194.0|[944,4354,149,2871,4137,2727,353,2529,493,1617,3383,3989,4637,2028,2575,1051,1180,1]
143.0|[432,184,853,2060,2979,1057,2266,4133,199,4034,2982,3202,3805,2179,3553,3,1051,1051,1]
31.0|[2289,3765,1838,4214,4066,942,2194,1475,3609,912,911,2786,482,1180]
174.0|[3097,1156,1632,1184,2866,3257,663,2455,1541,4738,2391,2916,347,2850,3342,1186,498,2388,184]
0.0|[4544,4727,4428,30,3339,4556,183,2180,344,7,1937]
137.0|[1503,1377,1182,2916,4318,1750,3095,3943,184,3608,482,1469]
56.0|[3518,2830,2860,1340,2131,2126,1829,4040,2181,4637,2179,911,4524,1051,1470,4427,1051,183]
74.0|[1787,510,4460,4726,701,4130,4131,2401,1186,655,785,2115,197,1,1054]
10.0|[2257,646,4419,4228,4741,4525,2923,3033,655,1316,187,3516,2179,1390,1750,1,2455,2717]
173.0|[589,2435,790,189,1183,797,482,341,482]
115.0|[4783,1122,2000,817,1543,3250,1062,4427,661,3202,1181,1620,791,2913,3202]
12.0|[4793,3316,2028,2390,2674,3557,3338,197,2325,1301,4210,1182,1,183]
57.0|[2660,1662,823,3227,4397,655,2576,2580,4552,785,341,1943,1051,483,3246,4249,4427,3033,1,1]
74.0|[2610,1580,1590,3903,798,498,1392,4493,2647,183,640]
157.0|[581,3836,3991,4430,1060,3905,1393,3555,1390,7,2517,640,782,1,1,1]
96.0|[2357,3228,1244,3292,187,2517,1690,1686,1393,3852,1473,1751,341,2913,1051,341]
196.0|[331,3759,1960,3341,1475,3852,2855,4801,4665,1300,4392,183,2028,482,1]
186.0|[1033,696,807,2917,2260,1543,3033,3421,344,189,2455,344]
67.0|[2654,1310,540,2480,3739,684,3092,1826,799,3714,1625,4252,4170,2181,2389,183,640,640]
131.0|[1261,4482,4552,3662,3284,24,1183,1939,1817,183,1051]
148.0|[4716,576,2455,2204,2932,1498,2787,4171,3991,202,1092,3768,2109,2456,341,183,341,781]
36.0|[3916,3361,3769,2617,4783,489,1948,1064,2259,2852,4210,2324,2,1051,183]
137.0|[271,1838,2812,706,1548,1640,930,490,3757,341,1052,640]
48.0|[2857,3039,3894,1399,4214,4459,3338,4175,2851,2,483,2517,1051]
166.0|[1946,1153,484,3298,661,646,4693,2403,3433,2266,508,3248,1057,784,1]
152.0|[2889,2653,911,97,4503,4717,4178,3384,1083,2456,4034,2786,911,183,910,183]
71.0|[2770,3096,2060,4506,786,1]
158.0|[1009,4235,2859,1054,1625,910,3094,4637,2518,3710,1945,912,4392,1686,1181]
118.0|[1423,2791,3782,2041,3775,559,1554,3663,4586,1057,642,1546,3423,4250,4393,3609,10,910]
113.0|[2644,184,2404,3338,3706,2786,782,1544,4130,3706,2,482]
46.0|[3210,3704,1621,184,1750,4458,781]
62.0|[1508,3902,370,1586,1686,3262,2122,4493,3091,925,3554,4690,345,3,641,1390,1]
47.0|[1426,2271,2835,3864,4213,1051,640]
176.0|[2283,1826,450,2329,4144,2923,3204,2035,1390,910]
177.0|[593,709,344,800,3578,347,1390,1939,2786,3897,1,4,183,2028,2575,910]
126.0|[1371,2605,2652,2657,3901,1183,2278,498,3033,4318]
113.0|[910,2989,255,4431,3884,1328,2457,4555,4429,3035,1180,1818,1,341,1]
84.0|[2148,2440,1309,1066,3091,4612,3148,5,2325,3382,1940,2388,3943,341]
188.0|[312,3265,3343,791,788,3147,4172,490,910,482,1]
166.0|[2354,583,2043,3612,2274,248,4397,183,1395,651,4,2029,911,1939,2,3553,1051,482]
121.0|[4108,1257,4004,4804,652,1198,2393,494,1941,3518,1052,482]
32.0|[3019,4333,1322,4223,3807,3608,3034,4583,1,782,640,482,1]
153.0|[1146,3718,1088,4149,1064,4288,2456,4035,4801,4034,1469,3090,1941,3897,2579,1941,485,2324,2517,3033,1181,5,1390]
167.0|[1772,2196,1011,3474,391,1760,207,3035,3709,3899,1306,3622,191,1059,1944,3381,346,1938,1299,1053,2976]
76.0|[3198,911,3387,2458,784,3899,2259,3765,344,783,185,2190,912,3284,3202,4171,1299,2851,2179,3248,2183,3146,1299,645,1]
190.0|[2060,318,4780,3718,1750,2109,3149,14,1938,2107,640,1541,183]
8.0|[347,1313,3402,2981,3359,34,3768,217,2279,4589,185,2522,1473,1181,2256,341,3985,3985,3516,2852,4210,2648]
18.0|[1947,4488,799,2650,3727,12,344,4637,4524,185]
117.0|[1563,4493,2987,2750,1363,3290,1071,2793,2858,4173,3808,4713,3418,2717,1184,2975,3246,2]
169.0|[1155,4354,2525,3856,564,3898,4034,186,346,1301,483,1051,484,482,910,183]
15.0|[3178,2275,4145,4493,4326,4190,4759,3564,194,3423,1750,3090,4036,1051,1,1]
76.0|[3208,3917,4432,3151,3304,1110,2209,241,4525,1686,3252,2390,2183,3146,1750,1299,1180,1390,640,1180,1]
88.0|[3206,2673,1670,503,797,4562,3099,3518,2180,648,364,2913,1]
147.0|[361,1068,2022,184,1194,1072,3663,2183,3286,4285,2324,3660,183,781]
18.0|[1713,3502,2602,227,676,17,3760,1064,1618,3382,919,2179,3283,781]
20.0|[3365,8,516,2681,3566,2032,1550,4473,2181,3419,2028,342,3897,3985,2787,3381,482,341,1051]
20.0|[2208,3573,212,3806,4009,3783,2920,2584,4132,4499,1390,3382,2578,1,2032,3706,4034]
150.0|[874,341,1310,1397,3500,1397,1819,4252,483,4458,1,1617]
