47.0, 1707,356,3796,2735,1630,1635,640,4525,4034,1750,1817,1390,1299,641,1
132.0, 2541,418,4184,2721,4444,3038,2255,365,4318,2915,1469,1390
89.0, 2773,1567,3774,2986,3613,2325,4637,782,1051,482,1180,341
116.0, 2123,2241,2719,3216,1483,3985,3721,491,2328,4210,2851,2030,2028,183
182.0, 1178,8,3037,3149,914,4493,1299,2179,183
152.0, 4352,1217,2284,268,2133,1079,2404,2342,188,4177,3557,2107,1693,3150,1618,1390,3283,482,2028,482,910
194.0, 145,4096,1940,2390,2600,1478,4638,4136,2725,194,42,1191,1180,3473,183,1,1
17.0, 2947,3448,3558,3161,946,817,1469,1205,4037,2858,1755,1193,4286,4134,1687,2717,1471,1052,1750,911,2324
140.0, 265,1983,1550,2861,2420,2269,4400,3717
32.0, 3038,4768,2786,3017,1500,2391,351,3287,4082,2179
192.0, 4763,4182,317,3290,2786,11,3046,494,1623,1939,2028,3706,787,642,4392,1180,341,183,341
9.0, 3119,1828,3222,2720,4471,377,1413,4532,2580,2028,1180,30,3709,2,184,2324
150.0, 2549,3479,725,543,59,3856,4284,2787,2575,2975,1299,341,911,910,1
198.0, 187,17,4438,2852,166,3613,642,2258,1390,1051,341
185.0, 613,4266,916,1625,3986,1399,4353,6
86.0, 4042,1341,4701,843,4257,3046,3481,1403,793,1941,349,2256,4352,1053,781,1
178.0, 4665,4140,2258,459,3098,71,3207,2185,1302,4285,3661,3,1299,1686,1390,482,910
47.0, 227,2537,2552,3047,3111,1484,1543,345,3148,2591,2793,352,3386,2857,4082,1397,4170,792,641,11,1299,640,1299,1180
45.0, 1715,2975,3071,4669,2112,4672,1301,4402,49,4034,4318,350,183,3986,2717,1051,341
15.0, 2477,4287,4244,2914,2397,2923,1066,3553,915,483,3283,2719,3381,3339,1052,1390,1
185.0, 1041,2658,1062,935,356,3035,4087,1940,4286,14,3709,3758,2518,914,4,2786,3418,483
89.0, 2211,2890,3717,403,4588,2576,364,2462,4356,2330,1475,1307,1055,2458,1541,3608,781
188.0, 1042,4742,1309,1301,4781,193,1687,2457,915
98.0, 2220,3260,68,3566,3291,2409,3037,3214,4399,12,926,2983,2917,4779,1391,783,2977,3758,483,1880,1938,3146,3283,4249,1299,781,1
55.0, 3082,3957,4691,4645,2576,2584,2108,342,640,1052,183
7.0, 4604,1703,2943,3093,2119,514,3090,3945,4458,1820,783,1180,1299
88.0, 3604,2729,1312,2855,1304,3422,2459,1692,1052,4638,2852,485,910,3516,1,183,341
113.0, 1417,3157,709,1343,1884,186,3437,3094,791,2108,1963,1190,1764,3290,348,1620,4712,3849,183,349,485,1688,1183,4034,1051,640
126.0, 3557,208,3002,557,1409,48,2734,3348,4561,1067,2035,20,2033,3037,1939,3717,486,32,4249,783,342,2324,1180
133.0, 2142,987,4048,1551,653,341,1845,1541,4088,3045,922,183,495,1756,2790,2256,482,482
155.0, 4809,1377,1763,2108,2522,184,3091,483,4352,1541,1
46.0, 1643,3459,2921,3395,3208,3476,1198,3,3478,913,2257,1181,482,3897,2,1
15.0, 4700,3961,4703,3041,1332,3285,3609,781
196.0, 339,4460,4132,343,1937,5,1
81.0, 3537,1228,971,4694,2791,3476,1632,2577,1183,2531,2723,4742,1189,2520,183,4737,4493,184,1052,781
110.0, 2688,1450,1393,3811,3851,344,654,1754,3381,3146,2029,2648,3706,1541,2,2388
18.0, 1191,4605,2123,1782,2864,10,640,2718,1,1937,2179,2028
132.0, 1255,1068,4834,2261,1192,2326,2388,2181,4392,3338,910,482
74.0, 1900,2211,1329,541,1391,4446,3555,3759,4393,347,3203,482,1051
12.0, 3396,922,4770,2869,522,194,2976,672,3618,4323,2195,3955,790,7,3707,342,1,3708,4131,643,910,2388,640,1,341
23.0, 2585,682,4513,2810,4008,4131,4041,3662,1750,4691,2034,4211,3849,344,782,4392,1
9.0, 3567,24,1697,4158,2943,1702,4255,643,3608,2324,3418,1299,341,781
53.0, 2280,2821,3912,1840,2388,1338,3210,1480,647,2856,2255,782,2
48.0, 4390,22,1618,3146,1205,1390,186,4285,2648,4427,4320,3609,4171,1304,3554,911,643,1051,2975,640,183
109.0, 1316,552,4101,1237,220,2918,2338,1978,4760,193,488,1052,3474,641,2179,482,1
122.0, 1813,1558,1054,4553,4781,1946,648,4779,1750,1543,1052,3897,1,342,781,1
70.0, 2418,1662,3527,482,4141,788,3294,3146,217,3814,2179,4552,3146,3757,341,482
53.0, 685,4665,1723,4198,4494,3897,3382,2326,2181,1396,4249,783,3661,2647,1180,1051
105.0, 2264,4088,2219,1347,3556,4326,2854,656,3345,550,4177,2256,1626,787,1391,2388,2518,1686,781,640,483,1299
87.0, 1511,1942,4761,2975,2159,2398,2117,3850,3617,484,183,482
105.0, 2032,848,4376,4675,3212,3208,2653,4087,648,1827,2648,2786,2255,2648,484,640
61.0, 2884,2326,4000,945,1857,349,365,4252,1,4637,3204,1941,1478,3247,1617,2456,917,483,2717,4552,1
174.0, 2456,3529,107,2618,4042,807,3668,3342,2031,2256,344,3898,4318,483,2914,4130,640,1
42.0, 188,4376,4433,1190,2291,1189,1622,1766,2117,34,785,1696,1763,343,1205,1886,4171,2575,1,781,482
52.0, 684,4766,2834,3212,4218,217,2854,3805,2517,1180,341
68.0, 4639,1663,1070,4514,3850,199,3806,4493,3033,1390,185,1541,183
95.0, 2504,1243,1072,2579,913,2917,1306,1053,4611,4494,3759,787,2389,1618,1051,1051
121.0, 2872,2244,528,1404,2031,483,781,781,1
136.0, 858,3053,4543,915,3094,3033,2035,2455,4458,3033,1938,1750,3553,2028
143.0, 1316,723,3211,78,2354,1551,2399,3428,661,3555,3763,785,1619,1391,341,1051,1,341
24.0, 3453,4833,2863,369,2914,3943,3944,1753,3,2975,1180,1,1051,1
159.0, 1379,3677,3706,1069,2522,1063,3708,2257,2179,2787,2718,641,2
160.0, 415,429,1117,489,358,4460,3473,2038,4713,3033,2388,910,3805,183
147.0, 1116,1397,1962,86,27,46,1890,4666,3731,24,4393,1306,2457,3757,185,189,183,2975,783,3706,1051,341,2647,640,781,781,1
157.0, 271,4383,2788,3289,4250,1697,2028,4036,4131,2786,644,1688,1052,1817,7,784,2028
78.0, 814,3335,2395,4392,791,2034,341,1053,1300,3849,482,184,781
148.0, 2428,1263,2035,3858,2518,1945,2034,2467,3759,916,3381,2179,3204,3090,1052,781,3609,4458,3473,643,4759,2851,1182,3418,183,1
27.0, 4426,501,3553,3035,2255,640,912,2107,1051
100.0, 2804,2724,3615,2635,2476,4088,796,193,3284,1052,4352
142.0, 4046,4653,83,1086,1817,4290,2476,3611,4141,1549,2179,3343,4737,3986,2389,1299,1,2575,781,482,2
180.0, 3716,4496,799,3053,1427,128,22,3385,3517,2724,2647,910,3420,1056,4210,1941,787,642,2107,1
32.0, 3044,3589,4595,3518,3531,2587,2593,2915,1620,2256,2029,2324,3,1052,341,640,640
