184.0, 4354,123,2200,1723,3901,4318,4529,3039,36,2648,910,3381,1751,640,1
115.0, 2816,1604,646,3038,1820,928,3949,3555,915,3419,3035,3758,482,341,1051
158.0, 3053,438,4648,4440,1622,496,1390,3091,2575,1180,3,641
194.0, 617,3912,2916,3216,2395,1473,1051,3033,3553,484,1054,1,341
51.0, 4553,3133,489,1770,1200,4717,821,1630,4433,2185,194,1052,189,341,2028,911,1051
180.0, 601,4431,1335,841,4690,1752,1542,3147,3146,3609,1051,4249,184,1879,785,4284,341,341,1
60.0, 1773,3001,1433,2205,4767,2575,4136,2720,3553
198.0, 1053,147,4714,987,2390,928,1190,640,4427,4,4035,2718,183
100.0, 4056,2084,3911,4366,195,917,4583,187,4459,1182,1618,2455,183,1,1180
142.0, 430,1427,987,4430,3149,1401,2787,3423,1541,3381,3473,1542,2850,2324,1879,482
86.0, 1240,386,658,1904,1077,2578,2818,2465,4253,3204,3608,1205,4665,3147,1544,2718,3553,640,4352,1937
10.0, 4610,3094,1887,3386,3203
13.0, 3573,3279,2858,794,2576,4,2107,1299,1299,1
160.0, 710,4136,2479,3613,282,1065,2202,23,1688,498,3246,1937,1390,641,1
40.0, 4624,3016,2200,3949,1549,3431,789,3151,4802,2028,642,1,183,1051
100.0, 3819,4708,1620,68,3903,2647,1541
128.0, 1505,1263,3382,3520,2793,664,2039,1481,2197,3813,785,1188,3474,4691,1879,1880,3246,1184
4.0, 2931,3828,4267,4393,2107,3354,1693,2581,3435,2796,3381,3036,1391,1753,641,2324,187,1181,1
155.0, 736,3166,1228,2053,2,1182,2338,652,1951,1390,14,500,4458,2,482,3034,3849,2390,5,3,1180,781,184,640
79.0, 3607,4210,342,1180,910,2913,2455,2388,910
10.0, 3504,3967,3661,2039,3388,921,2040,4392,2180,190,640,4082,3849,643,1180,483,1937
111.0, 4690,2168,1197,1823,4328,4048,2264,2913,2722,1395,1300,3284,186,341,2913
62.0, 1396,4432,1184,2393,3994,2498,4647,2409,3987,3254,2036,2401,3041,4210,2389,4037,485
145.0, 4170,94,3836,1062,972,2458,4132,13,2179,2255,183,1180
69.0, 1483,2609,4716,1794,4802,4226,4171,3343,1185,4494,1757,2718,3339,4737,3608,1469,183
0.0, 4612,4777,2269,3612,1077,351,490,482,483,2576,2851,3664,2517
92.0, 1868,4692,2652,971,3986,489,3613,3095,1203,4665,914,4393,1617,484,1470,787,482,2,910,1
140.0, 1861,429,4393,2915,643,2107,1942,1821,3425,651,1063,2038,3202,911,2648,2975,911,1051,184,781
67.0, 3133,2864,387,967,2797,4322,652,342,1390,1541,1051,2575,781,2255,2
170.0, 886,4623,3256,486,3146,1471,2647,910,1,1
82.0, 2376,3575,2110,4534,2389,486,910,1180,2324,1542,910,1,1
111.0, 1510,1779,253,196,1495,1087,3479,3034,2258,2390,4801,2913,1392,1,1,482
34.0, 2990,4386,2811,3206,2257,4170,4613,1879,2028,1299,640,1
125.0, 1457,4359,2344,2041,3288,1184,1698,1623,2655,1941,641,2325,1051
156.0, 1148,1961,3901,1230,4142,1817,1881,1827,4429,1469,3807,1,3146,916,1182,3,1299
75.0, 4597,2411,1987,2997,206,3479,187,2723,3428,650,202,498,1056,4493,1390,184,3418,341,1
17.0, 3449,1964,3368,24,208,1687,3146,1619,1823,783,921,3283
91.0, 2082,1945,2195,2218,4528,2722,2720,392,646,2787,647,3418,3339
52.0, 4232,653,1856,1096,2648,1833,3765,3897,4801,4427,1051,1051
135.0, 1468,4583,1180,2028
176.0, 2850,1166,9,1495,3951,2789,4131,641,3033,2
21.0, 2201,4616,2192,4306,2549,2272,13,3420,1879,1686,781,781,1
31.0, 2064,4236,4141,2664,4464,4646,3202,3473,2519,919,4170,3473,482
119.0, 2174,4180,3517,4211,1544,1694,4584,3518,2854,2324,2108,2575
135.0, 4048,1376,3430,1563,1196,2649,4085,1390,3090,2850,1051,1
190.0, 468,927,4224,3710,483,2325,184,4353,4352,2717,2184,1390,484,3202,1879,3943,3516,640,482,1
174.0, 561,3723,117,3147,4096,4398,2031,3768,923,1051,1937
87.0, 2971,4358,3901,3814,1055,2390,2517
144.0, 2722,1001,61,4697,4140,407,3757,483,3949,4524,484,2577,4034,341,910,1
96.0, 2277,845,1496,2859,3449,4712,1622,4037,2129,192,782,4392,1299,2325,2850,783,1180,640,482,640
